Time,Average(B)
(us),(mV)

-12.05825179,-0.02085464
-12.04575179,-0.02048743
-12.03325179,-0.01960040
-12.02075179,-0.02452911
-12.00825179,-0.02459350
-11.99575180,-0.02078550
-11.98325180,-0.02162006
-11.97075180,-0.02303643
-11.95825180,-0.02260962
-11.94575180,-0.02157714
-11.93325180,-0.02063766
-11.92075180,-0.02022514
-11.90825180,-0.02235209
-11.89575180,-0.02240217
-11.88325180,-0.02229725
-11.87075180,-0.02280991
-11.85825180,-0.02324150
-11.84575180,-0.03006112
-11.83325181,-0.02739764
-11.82075181,-0.02787932
-11.80825181,-0.02558783
-11.79575181,-0.02588828
-11.78325181,-0.02892609
-11.77075181,-0.02548291
-11.75825181,-0.02068535
-11.74575181,-0.02246656
-11.73325181,-0.02324628
-11.72075181,-0.02146029
-11.70825181,-0.02246417
-11.69575181,-0.02361109
-11.68325181,-0.02246656
-11.67075181,-0.01981263
-11.65825182,-0.01980547
-11.64575182,-0.02130530
-11.63325182,-0.02417622
-11.62075182,-0.02662984
-11.60825182,-0.02856126
-11.59575182,-0.02693983
-11.58325182,-0.02433598
-11.57075182,-0.02318666
-11.55825182,-0.02114793
-11.54575182,-0.02120753
-11.53325182,-0.01814111
-11.52075182,-0.01974586
-11.50825182,-0.02157953
-11.49575183,-0.02308889
-11.48325183,-0.02230201
-11.47075183,-0.02698035
-11.45825183,-0.02372317
-11.44575183,-0.02448859
-11.43325183,-0.02657976
-11.42075183,-0.02470318
-11.40825183,-0.02412853
-11.39575183,-0.02897379
-11.38325183,-0.02615295
-11.37075183,-0.02980120
-11.35825183,-0.02110263
-11.34575183,-0.01944541
-11.33325183,-0.01559210
-11.32075184,-0.01856078
-11.30825184,-0.02194436
-11.29575184,-0.02131486
-11.28325184,-0.01943111
-11.27075184,-0.01578525
-11.25825184,-0.01985794
-11.24575184,-0.01859654
-11.23325184,-0.02048266
-11.22075184,-0.02027283
-11.20825184,-0.01833902
-11.19575184,-0.02490347
-11.18325184,-0.02109309
-11.17075184,-0.01849401
-11.15825185,-0.02006300
-11.14575185,-0.01949072
-11.13325185,-0.02260722
-11.12075185,-0.02329158
-11.10825185,-0.02360156
-11.09575185,-0.02438606
-11.08325185,-0.02260723
-11.07075185,-0.02481287
-11.05825185,-0.02245940
-11.04575185,-0.02198966
-11.03325185,-0.02168444
-11.02075185,-0.02418814
-11.00825185,-0.01720879
-10.99575185,-0.02229486
-10.98325186,-0.02257147
-10.97075186,-0.02189189
-10.95825186,-0.01934527
-10.94575186,-0.02198250
-10.93325186,-0.02146984
-10.92075186,-0.02402838
-10.90825186,-0.02724265
-10.89575186,-0.02438367
-10.88325186,-0.02543046
-10.87075186,-0.02209934
-10.85825186,-0.01991514
-10.84575186,-0.01791934
-10.83325186,-0.02286715
-10.82075187,-0.02413092
-10.80825187,-0.02265970
-10.79575187,-0.02401885
-10.78325187,-0.02908347
-10.77075187,-0.02902623
-10.75825187,-0.02710435
-10.74575187,-0.02453866
-10.73325187,-0.02777916
-10.72075187,-0.02532076
-10.70825187,-0.02053274
-10.69575187,-0.02006538
-10.68325187,-0.01880399
-10.67075187,-0.02204450
-10.65825187,-0.02434313
-10.64575188,-0.02408084
-10.63325188,-0.02277175
-10.62075188,-0.02005584
-10.60825188,-0.02407607
-10.59575188,-0.02563551
-10.58325188,-0.02527070
-10.57075188,-0.02486294
-10.55825188,-0.02214940
-10.54575188,-0.02120755
-10.53325188,-0.01855838
-10.52075188,-0.01730414
-10.50825188,-0.01401834
-10.49575188,-0.01823887
-10.48325189,-0.01942158
-10.47075189,-0.01923081
-10.45825189,-0.02287667
-10.44575189,-0.02522061
-10.43325189,-0.01656735
-10.42075189,-0.01750684
-10.40825189,-0.02085941
-10.39575189,-0.02178459
-10.38325189,-0.02454343
-10.37075189,-0.02225910
-10.35825189,-0.02330827
-10.34575189,-0.02771955
-10.33325189,-0.02517054
-10.32075189,-0.02585011
-10.30825190,-0.02042305
-10.29575190,-0.01676765
-10.28325190,-0.01626215
-10.27075190,-0.02391392
-10.25825190,-0.02172019
-10.24575190,-0.01949309
-10.23325190,-0.02438129
-10.22075190,-0.02392347
-10.20825190,-0.02548767
-10.19575190,-0.01974587
-10.18325190,-0.02006538
-10.17075190,-0.02095240
-10.15825190,-0.02116463
-10.14575191,-0.02265016
-10.13325191,-0.02245702
-10.12075191,-0.01938580
-10.10825191,-0.02047312
-10.09575191,-0.02230440
-10.08325191,-0.02663463
-10.07075191,-0.02517293
-10.05825191,-0.02497024
-10.04575191,-0.02173689
-10.03325191,-0.01793366
-10.02075191,-0.02043258
-10.00825191,-0.02403077
-9.99575191,-0.02313657
-9.98325192,-0.02100724
-9.97075192,-0.02147222
-9.95825192,-0.02151275
-9.94575192,-0.02084272
-9.93325192,-0.02205644
-9.92075192,-0.02335596
-9.90825192,-0.02573806
-9.89575192,-0.02583821
-9.88325192,-0.03057855
-9.87075192,-0.02965814
-9.85825192,-0.02501317
-9.84575192,-0.02538038
-9.83325192,-0.02766948
-9.82075192,-0.02621494
-9.80825193,-0.02235686
-9.79575193,-0.01745437
-9.78325193,-0.02135776
-9.77075193,-0.02022514
-9.75825193,-0.01892084
-9.74575193,-0.01996285
-9.73325193,-0.02236164
-9.72075193,-0.02110740
-9.70825193,-0.02323435
-9.69575193,-0.02086657
-9.68325193,-0.02084987
-9.67075193,-0.02162243
-9.65825193,-0.02312467
-9.64575194,-0.02013452
-9.63325194,-0.01855838
-9.62075194,-0.01963855
-9.60825194,-0.02391155
-9.59575194,-0.02499886
-9.58325194,-0.02401884
-9.57075194,-0.02448858
-9.55825194,-0.02694222
-9.54575194,-0.02725459
-9.53325194,-0.02746680
-9.52075194,-0.02479380
-9.50825194,-0.02387577
-9.49575194,-0.02345133
-9.48325194,-0.02547337
-9.47075195,-0.02714965
-9.45825195,-0.02693744
-9.44575195,-0.02454105
-9.43325195,-0.02407845
-9.42075195,-0.01905197
-9.40825195,-0.02104063
-9.39575195,-0.01960755
-9.38325195,-0.01760699
-9.37075195,-0.02204688
-9.35825195,-0.02138400
-9.34575195,-0.02428590
-9.33325195,-0.02246177
-9.32075195,-0.01688210
-9.30825196,-0.02198250
-9.29575196,-0.02126716
-9.28325196,-0.02225672
-9.27075196,-0.01979354
-9.25825196,-0.02428113
-9.24575196,-0.01996522
-9.23325196,-0.01886121
-9.22075196,-0.01850116
-9.20825196,-0.02099772
-9.19575196,-0.01985555
-9.18325196,-0.02236164
-9.17075196,-0.01845109
-9.15825196,-0.01829370
